iteration,epoch,accuracy,loss
1.000000,0.002500,0.000000,7.396619
2.000000,0.005000,0.000000,6.824023
3.000000,0.007500,0.000000,6.068121
4.000000,0.010000,0.300000,5.427297
5.000000,0.012500,0.950000,4.728694
6.000000,0.015000,1.000000,3.860662
7.000000,0.017500,1.000000,3.322829
8.000000,0.020000,1.000000,2.306747
9.000000,0.022500,1.000000,1.641259
10.000000,0.025000,1.000000,1.092242
11.000000,0.027500,1.000000,0.576733
12.000000,0.030000,1.000000,0.536781
13.000000,0.032500,1.000000,0.264377
14.000000,0.035000,1.000000,0.293681
15.000000,0.037500,1.000000,0.090300
